Fornitore;TipoDocumento;NumeroDocumento;Data;ImportoTotale;TotNetto;Riga;Cod.articolo;Descrizione;Prezzo Unit.;Quantita;TotLordo;Sconti;Tot. Netto;Iva;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;69/F;29/07/22;29.37;29.08;2;9788873341659;aa.vv. COMPITI PER L'ESTATE-MATEMATICA 4+narr.;4.00;14;56.00;50;29,08 Û;74;;;;;;;;;;;;;;;;;;;
Gaia Scuola;Nota di debito differita;69/F;29/07/22;29.37;0.29;3;;Spese di trasporto;;;;;0,29 Û;;;;;;;;;;;;;;;;;;;;
Gaia;Nota di accredito;44/N;25/10/23;6057.99;;1;;Accr. diff. sconto su vendita scolastico;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia;Nota di accredito;44/N;25/10/23;6057.99;3089.03;2;;anno 2021 a saldo;3089.03;1;3089.03;;Û 3.089,03;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di accredito;44/N;25/10/23;6057.99;2968.96;3;;anno 2022 classi quinte;2968.96;1;2968.96;;Û 2.968,96;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;844/F;31/08/22;0.00;;1;;Rifer. D.D.T. n¡ 3.969 del 29/08/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;844/F;31/08/22;0.00;0.00;2;9788873348719;aa.vv. LA VOCE DELLA TERRA cl. 5 - Guida Mate;0.02;12;0;100;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;844/F;31/08/22;0.00;0.00;3;9788873348726;aa.vv. LA VOCE DELLA TERRA cl. 5 -Guida Scienze;0.02;12;0;100;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;844/F;31/08/22;0.00;0.00;4;9788873348696;aa.vv. LA VOCE DELLA TERRA cl. 5 - Guida Storia;0.02;12;0;100;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;844/F;31/08/22;0.00;0.00;5;9788873348702;aa.vv. LA VOCE DELLA TERRA cl. 5-Guida Geograf;0.02;12;0;100;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;844/F;31/08/22;0.00;0.00;6;9788873348665;aa.vv. PAROLA DI LIBRO! CL. 5 - Guida al testo;0.02;2;0;100;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;249/F;28/02/22;0.00;;1;;Rifer. D.D.T. n¡ 525 del 08/02/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;249/F;28/02/22;0.00;0.00;2;PALICAR4;aa.vv. PAROLA DI LIBRO! CL.4 (compl) *SAGGIO;;60;;54.00;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;249/F;28/02/22;0.00;0.00;3;INVACAR4;aa.vv. InvestigaTESTO CL.4+ Insieme *SAGGIO;;60;;54.00;;74;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;249/F;28/02/22;0.00;;4;;Rifer. D.D.T. n¡ 640 del 11/02/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Gaia;Nota di debito differita;249/F;28/02/22;0.00;0.00;5;VOCECAR4;aa.vv. LA VOCE DELLA TERRA CL.4 (compl) *SAGGIO;0.01;96;1;99.99;;74;;;;;;;;;;;;;;;;;;;
